goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkStringGet/65536/Searcher             	 9061756	        26.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 8540941	        27.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/CopyString           	 5325148	        45.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/CopyString           	 5278444	        45.49 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/CopyString           	 5400925	        45.78 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/CopyString           	 5411631	        45.26 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/CopyString           	 5368042	        46.00 ns/op	       2 B/op	       1 allocs/op
BenchmarkEncoder/RootStream                   	 1499832	       159.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootStream                   	 1508352	       158.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootStream                   	 1510429	       161.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootStream                   	 1538491	       156.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootStream                   	 1500918	       161.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1622209	       147.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1657064	       146.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1650091	       145.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1679899	       143.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1651206	       144.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       217.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       229.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       234.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       236.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       235.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1433658	       167.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1447945	       165.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1439078	       166.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1451308	       167.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1449285	       167.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeNumbers/Default                	  368126	       647.6 ns/op	     536 B/op	      13 allocs/op
BenchmarkDecodeNumbers/Default                	  408542	       649.7 ns/op	     536 B/op	      13 allocs/op
BenchmarkDecodeNumbers/Default                	  379921	       660.9 ns/op	     536 B/op	      13 allocs/op
BenchmarkDecodeNumbers/Default                	  379724	       662.2 ns/op	     536 B/op	      13 allocs/op
BenchmarkDecodeNumbers/Default                	  395456	       639.6 ns/op	     536 B/op	      13 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  112177	      2184 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  108438	      2196 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  114019	      2149 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  113013	      2080 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  118227	      2118 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseInt64               	  426036	       570.6 ns/op	     488 B/op	       7 allocs/op
BenchmarkDecodeNumbers/UseInt64               	  457684	       573.5 ns/op	     488 B/op	       7 allocs/op
BenchmarkDecodeNumbers/UseInt64               	  449872	       564.8 ns/op	     488 B/op	       7 allocs/op
BenchmarkDecodeNumbers/UseInt64               	  432195	       568.9 ns/op	     488 B/op	       7 allocs/op
BenchmarkDecodeNumbers/UseInt64               	  411829	       573.6 ns/op	     488 B/op	       7 allocs/op
BenchmarkStringDecoder/PackageDecoder         	   10000	     24335 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/PackageDecoder         	   10000	     24442 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/PackageDecoder         	   10000	     23801 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/PackageDecoder         	   10000	     24102 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/PackageDecoder         	   10000	     23883 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     22630 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     22704 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     22903 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     22927 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     22859 ns/op	    2168 B/op	     108 allocs/op
BenchmarkPreorderDepth/64                     	  604060	       407.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	  595683	       412.7 ns/op	       0 B/op	       0 allocs/op
