goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkEncoder/EncodeIntoReuse              	 1000000	       291.6 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1000000	       288.1 ns/op	     224 B/op	       3 allocs/op
BenchmarkDecodeNumbers/Default                	  138758	      1657 ns/op	     648 B/op	      23 allocs/op
BenchmarkDecodeNumbers/Default                	  145329	      1620 ns/op	     648 B/op	      23 allocs/op
BenchmarkDecodeNumbers/Default                	  144630	      1635 ns/op	     648 B/op	      23 allocs/op
BenchmarkDecodeNumbers/Default                	  152808	      1651 ns/op	     648 B/op	      23 allocs/op
BenchmarkDecodeNumbers/Default                	  153262	      1629 ns/op	     648 B/op	      23 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  116433	      2082 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  112528	      2098 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  109891	      2135 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  116605	      2091 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseNumber              	  115300	      2109 ns/op	    1344 B/op	      29 allocs/op
BenchmarkDecodeNumbers/UseInt64               	   81614	      2991 ns/op	    1592 B/op	      44 allocs/op
BenchmarkDecodeNumbers/UseInt64               	   79249	      3127 ns/op	    1592 B/op	      44 allocs/op
BenchmarkDecodeNumbers/UseInt64               	   80121	      3105 ns/op	    1592 B/op	      44 allocs/op
BenchmarkDecodeNumbers/UseInt64               	   80397	      3037 ns/op	    1592 B/op	      44 allocs/op
BenchmarkDecodeNumbers/UseInt64               	   76149	      3146 ns/op	    1592 B/op	      44 allocs/op
BenchmarkStringDecoder/PackageDecoder         	    5132	     42397 ns/op	   48002 B/op	     600 allocs/op
BenchmarkStringDecoder/PackageDecoder         	    5850	     42144 ns/op	   48002 B/op	     600 allocs/op
BenchmarkStringDecoder/PackageDecoder         	    5822	     41929 ns/op	   48002 B/op	     600 allocs/op
BenchmarkStringDecoder/PackageDecoder         	    6147	     42390 ns/op	   48002 B/op	     600 allocs/op
BenchmarkStringDecoder/PackageDecoder         	    6142	     41802 ns/op	   48002 B/op	     600 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     24423 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     23987 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	    9885	     24209 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     24077 ns/op	    2168 B/op	     108 allocs/op
BenchmarkStringDecoder/StdDecoder             	   10000	     23503 ns/op	    2168 B/op	     108 allocs/op
BenchmarkPreorderDepth/64                     	   48300	      4982 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	   48242	      5020 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	   47592	      4932 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	   48799	      4932 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	   47826	      5019 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	    4320	     54901 ns/op	       0 B/op	       0 allocs/op
